Evaluator,Model,Category,Difficulty,Question,Expected Answer,Generated Answer,Faithfulness,Answer Relevancy,Contextual Relevancy,Retrieval Time (ms),Generation Time (ms),Total Time (ms),Response Length (words),Exact Match,Precision,Recall,F1 Score
ollama,qwen2.5:3b,Claims,Medium,What is the claim notification period?,Within 48 hours.,The claim notification period is 7 days.,1.0,0.5,0.0,615.09,2060.29,2677.1,7,0,0.0,0.0,0.0
ollama,qwen2.5:3b,Claims,Medium,How long does claim settlement normally take?,7 working days after complete documentation and approval.,The normal time frame for claim settlement is within 7 working days following formal surveyor and invoice approval.,1.0,0.5,0.0,604.21,2455.76,3304.12,18,0,0.278,0.625,0.385
ollama,qwen2.5:3b,Customer Support,Medium,How do I raise a complaint?,"Toll-free number, support email, grievance email.","To raise a complaint, please use these standardized communication lines:
 

 ● Toll-Free Helpline Desk: 1800-123-4567 (Central Customer Operations Center)
 ● Official Core Email Portal: support@insurix.co.in
 ● Corporate Web URL Domain: www.insurixinsurance.co.in
 ● Regional Grievance Escalations: grievance@insurix.co.in",0.75,0.0,0.1428571429,1106.18,3361.42,6590.49,36,0,0.114,0.714,0.196
ollama,qwen2.5:3b,Add-on Covers,Medium,What is Engine Protect Cover?,"Covers engine and gearbox damage due to hydrostatic lock/fluid ingress, subject to policy terms.","The Engine Protect Cover reimburses overhaul expenses for engine blocks and gearboxes damaged via hydrostatic lock or fluid leakage, with a limit of 1 claim per term up to Rs. 25,00,000.",1.0,0.0,0.0,654.35,3522.33,4252.84,31,0,0.194,0.4,0.261
ollama,qwen2.5:3b,Policy Information,Easy,What is the Insured Declared Value (IDV)?,"₹16,80,000.00","The Insured Declared Value (IDV) is determined based on the manufacturer's listed selling price adjusted for age depreciation, as specified in the Policy Schedule.",0.0,0.3333333333,0.0,476.47,4883.31,5360.31,24,0,0.0,0.0,0.0
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the manufacturing year of my vehicle?,2024,The manufacturing year of your vehicle is 2024.,1.0,0.5,0.0,753.92,4340.73,5095.7,8,0,0.125,1.0,0.222
ollama,qwen2.5:3b,Vehicle Information,Easy,What is the fuel type?,Petrol,Petrol,0.9,0.0,0.0,1756.27,2261.67,6607.86,1,1,1.0,1.0,1.0
ollama,qwen2.5:3b,Vehicle Information,Easy,Which RTO is my vehicle registered under?,Kolkata (WB06),"The vehicle is registered with the Regional Transport Authority (RTA) in Kolkata, as indicated by the Registration Number WB 06 AB 4582.",1.0,0.0,0.0,1052.72,2530.47,3584.11,22,0,0.045,0.5,0.083
ollama,qwen2.5:3b,Coverage,Medium,Does the policy cover riots and strikes?,"Yes, riots and strikes are covered under Own Damage coverage.",No. The policy does not cover riots and strikes as they are excluded under Exclusion 10.2.,0.0,0.3333333333,0.0,1026.64,2709.64,5378.7,16,0,0.278,0.5,0.357
ollama,qwen2.5:3b,Add-on,Medium,Does this policy include Zero Depreciation Cover?,"Yes, Zero Depreciation Cover is included.","Yes, this policy includes Zero Depreciation Cover.",1.0,0.5,0.25,1034.83,2630.87,5458.85,7,0,0.571,0.667,0.615
ollama,qwen2.5:3b,Add-on,Medium,Does the policy provide a Courtesy Car?,Yes. Courtesy Car Add-on is active subject to policy conditions.,"Yes, the policy provides a Courtesy Car benefit if the Courtesy Car Add-on has been purchased and is active under this policy. The courtesy car can be either a temporary replacement vehicle or rental reimbursement while the insured vehicle is being repaired at an authorized network garage. This benefit is limited to 7 consecutive days per claim and 14 days per policy year, subject to the policy terms and conditions.",1.0,0.0,0.1428571429,1014.64,4236.23,8328.6,70,0,0.155,1.0,0.268
ollama,qwen2.5:3b,Exclusion,Medium,Is damage caused by drunk driving covered?,No. Damage while driving under the influence of alcohol is excluded.,No.,1.0,0.0,0.0,2391.65,2437.56,6296.14,1,0,1.0,0.091,0.167
ollama,qwen2.5:3b,Claims,Medium,What documents are required for a theft claim?,"FIR, RC, claim form, original keys, policy document and Non-Traceable Report (where required).","To settle a claim for theft of the insured vehicle, the policyholder must submit:  
 ● Original Registration Certificate (RC)  
 ● Both keys  
 ● Factory Purchase Invoice  
 ● Claim Form  
 ● Certified FIR issued by the competent court or police authority (where applicable)  
 ● Registration Certificate (RC)  
 ● Original Vehicle Keys  
 ● Duly completed claim form  
 ● Any additional documents requested by INSURIX during claim assessment.",0.875,0.6666666667,0.0,927.72,4093.94,6794.4,65,0,0.125,0.5,0.2
ollama,qwen2.5:3b,Coverage,Hard,Is engine damage after waterlogging always covered?,No. Engine damage due to hydrostatic lock is covered only if Engine Protect Add-on is active.,"No, engine damage caused by restarting or cranking the vehicle after water ingress is not covered under this insurance policy. The policy explicitly excludes such damage due to water ingress.",0.0,0.5,0.3333333333,493.88,5020.05,5564.29,30,0,0.233,0.412,0.298
ollama,qwen2.5:3b,Coverage,Hard,Under what conditions is flood damage covered?,"Flood damage is covered up to IDV after deductible, provided the claim is reported within 48 hours and policy conditions are met.","Flood damage caused by the following insured perils is covered up to the applicable Insured Declared Value (IDV) after applying the compulsory deductible: Flood, inundation, waterlogging, or overflowing rivers.",1.0,0.3333333333,0.25,578.5,5153.81,5732.76,29,0,0.345,0.455,0.392
ollama,qwen2.5:3b,Claims,Hard,What should I do immediately after my vehicle is stolen?,"Inform the insurer immediately, lodge an FIR, submit claim documents, original keys and Non-Traceable Report where required.",Notify INSURIX within 48 hours of discovering the theft and lodge a First Information Report (FIR) with the local police.,1.0,0.5,0.0,488.86,4743.86,5233.8,20,0,0.25,0.278,0.263
ollama,qwen2.5:3b,Claims,Hard,What should I do after an accident to ensure claim approval?,"Notify the insurer within 48 hours, document the damage, cooperate with survey inspection and repair at a network garage for cashless settlement.","After an accident, you should:
 

 1. Ensure the immediate safety of all occupants.
 2. Move the vehicle only if legally permitted or required for safety.
 3. Take detailed photographs of the vehicle damage and the accident scene.
 4. Inform local police immediately if injuries exist.
 5. Contact INSURIX customer support within 48 hours to file a digital claim intimation and generate a tracking token.
 6. Submit all original vehicle keys, the Registration Certificate (RC), policy document, claim form, and other required documents.
 7. Provide a Non-Traceable Report where required by law before settling a total theft claim.
 

 Additionally, you should submit personal belongings such as laptops, mobile phones, cash, jewellery, luggage, documents, and other personal effects kept inside the insured vehicle to ensure they are not covered under this policy.",0.8571428571,0.625,0.2727272727,1511.96,6989.49,10135.72,130,0,0.076,0.455,0.131
ollama,qwen2.5:3b,Deductible,Hard,When is the compulsory deductible applied?,The compulsory deductible is applied to every Own Damage claim before claim settlement.,The compulsory deductible applies to every approved Own Damage claim.,1.0,0.0,0.0,772.54,2794.7,5961.08,10,0,0.8,0.615,0.696
ollama,qwen2.5:3b,Add-on,Hard,How many Zero Depreciation claims are allowed during one policy term?,Maximum two claims during one policy term.,2 claims per policy term.,0.5,0.0,0.0,834.27,2536.03,3896.7,5,0,0.6,0.429,0.5
ollama,qwen2.5:3b,Coverage,Hard,Does the policy cover landslide damage?,Yes. Landslide and rockslide are covered under Own Damage coverage.,"No, the policy does not cover landslide damage.",0.0,0.5,0.0,1023.49,2780.65,4425.37,8,0,0.25,0.2,0.222
ollama,qwen2.5:3b,Coverage,Hard,What is the maximum amount payable if my vehicle is stolen?,"Up to the Insured Declared Value (IDV), subject to deductible and policy conditions.",The maximum liability of the Company shall not exceed the applicable Insured Declared Value (IDV) after applying the compulsory deductible and any other applicable deductions.,0.6666666667,0.0,0.1111111111,812.72,2621.93,4453.41,25,0,0.28,0.538,0.368
